,SP500,NASDAQ,Dow,Russell2000,Euro50,DAX,CAC,ISEQ20
2017-11,10.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0
2017-12,2.5,0.0,30.0,7.5,0.0,30.0,0.0,30.0
2018-01,30.0,0.0,27.03,30.0,0.0,0.0,0.0,12.97
2018-02,10.0,30.0,0.0,30.0,0.0,0.0,30.0,0.0
2018-03,0.0,0.0,0.0,30.0,30.0,10.0,0.0,30.0
2018-04,30.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0
2018-05,0.0,0.0,0.0,18.3,21.7,30.0,30.0,0.0
2018-06,10.0,30.0,0.0,30.0,30.0,0.0,0.0,0.0
2018-07,10.0,30.0,0.0,30.0,0.0,0.0,0.0,30.0
2018-08,0.0,10.79,30.0,0.0,0.0,0.0,29.21,30.0
2018-09,30.0,28.12,30.0,0.0,0.0,0.0,11.88,0.0
2018-10,30.0,0.0,30.0,0.0,10.0,0.0,0.0,30.0
2018-11,16.26,0.0,30.0,30.0,23.74,0.0,0.0,0.0
2018-12,0.0,0.0,0.0,0.0,30.0,10.0,30.0,30.0
2019-01,0.0,0.0,0.0,0.0,30.0,10.0,30.0,30.0
2019-02,30.0,30.0,10.0,0.0,0.0,30.0,0.0,0.0
2019-03,0.0,1.78,30.0,8.22,0.0,30.0,0.0,30.0
2019-04,30.0,10.0,30.0,30.0,0.0,0.0,0.0,0.0
2019-05,0.0,0.0,10.0,0.0,30.0,30.0,0.0,30.0
2019-06,30.0,10.0,0.0,30.0,0.0,0.0,0.0,30.0
2019-07,0.0,0.0,0.0,29.83,30.0,10.17,30.0,0.0
2019-08,10.0,0.0,30.0,0.0,30.0,0.0,30.0,0.0
2019-09,30.0,30.0,30.0,10.0,0.0,0.0,0.0,0.0
2019-10,30.0,0.0,26.95,0.0,30.0,0.0,0.0,13.05
2019-11,10.0,0.0,0.0,0.0,30.0,30.0,30.0,0.0
2019-12,30.0,30.0,30.0,9.83,0.0,0.0,0.17,0.0
2020-01,30.0,19.34,30.0,0.0,0.0,20.66,0.0,0.0
2020-02,0.0,30.0,0.0,0.0,10.0,30.0,0.0,30.0
2020-03,30.0,30.0,30.0,0.0,10.0,0.0,0.0,0.0
2020-04,0.0,0.0,0.0,0.0,30.0,30.0,30.0,10.0
2020-05,30.0,10.0,30.0,0.0,0.0,0.0,30.0,0.0
2020-06,30.0,0.0,30.0,10.0,0.0,0.0,0.0,30.0
2020-07,0.0,30.0,15.93,0.0,0.0,24.07,0.0,30.0
2020-08,0.0,0.0,0.0,30.0,30.0,10.0,30.0,0.0
2020-09,0.0,0.0,30.0,0.0,10.0,30.0,0.0,30.0
2020-10,10.0,30.0,0.0,30.0,0.0,0.0,0.0,30.0
2020-11,30.0,30.0,30.0,0.0,0.0,0.0,0.0,10.0
2020-12,30.0,0.0,30.0,0.0,10.0,0.0,30.0,0.0
2021-01,0.0,30.0,30.0,14.91,0.0,0.0,25.09,0.0
2021-02,30.0,30.0,10.0,0.0,0.0,30.0,0.0,0.0
2021-03,10.0,30.0,0.0,30.0,0.0,0.0,30.0,0.0
2021-04,0.0,0.0,30.0,13.16,0.0,0.0,26.84,30.0
2021-05,0.0,8.04,30.0,30.0,30.0,0.0,1.96,0.0
2021-06,0.0,0.0,0.0,0.0,30.0,10.0,30.0,30.0
2021-07,0.0,30.0,5.22,4.78,30.0,30.0,0.0,0.0
2021-08,0.0,0.0,30.0,10.0,0.0,30.0,30.0,0.0
2021-09,0.0,0.0,30.0,30.0,10.0,0.0,30.0,0.0
2021-10,0.0,0.0,0.0,30.0,0.0,30.0,10.0,30.0
2021-11,30.0,30.0,10.0,0.0,0.0,0.0,30.0,0.0
2021-12,30.0,30.0,10.0,30.0,0.0,0.0,0.0,0.0
2022-01,0.0,0.0,30.0,0.0,0.0,30.0,30.0,10.0
2022-02,30.0,0.0,10.0,30.0,0.0,0.0,0.0,30.0
2022-03,6.8,0.0,30.0,0.0,30.0,30.0,0.0,3.2
2022-04,0.0,0.0,30.0,0.0,0.0,10.0,30.0,30.0
2022-05,0.0,0.0,0.0,0.0,30.0,30.0,10.0,30.0
2022-06,30.0,10.0,30.0,30.0,0.0,0.0,0.0,0.0
2022-07,0.0,0.0,30.0,0.0,30.0,30.0,10.0,0.0
2022-08,10.0,0.0,30.0,30.0,0.0,0.0,0.0,30.0
2022-09,0.0,0.0,10.0,0.0,30.0,30.0,30.0,0.0
2022-10,30.0,30.0,0.0,10.0,0.0,0.0,30.0,0.0
2022-11,0.0,6.51,30.0,30.0,3.49,0.0,30.0,0.0
